Winner,NumTricks,NAcesP1,NAcesP2,NShuffles,ArtificiallyEnded
Player 2,4437,4,0,0,False
Player 1,669,3,1,0,False
Player 1,2522,1,3,0,False
Player 1,555,1,3,0,False
Player 2,186,1,3,0,False
Player 1,100001,1,3,0,True
Player 2,3490,2,2,0,False
Player 1,46,4,0,0,False
Player 2,2214,2,2,0,False
Player 1,3092,1,3,0,False
Player 1,100001,2,2,0,True
Player 1,3275,1,3,0,False
Player 1,1282,3,1,0,False
Player 1,100001,1,3,0,True
Player 1,100001,2,2,0,True
Player 1,1482,1,3,0,False
Player 2,1777,1,3,0,False
Player 1,100001,0,4,0,True
Player 1,100001,0,4,0,True
Player 1,100001,2,2,0,True
Player 1,100001,2,2,0,True
Player 1,1003,2,2,0,False
Player 1,100001,3,1,0,True
Player 1,1055,2,2,0,False
Player 1,1251,1,3,0,False
Player 1,100001,3,1,0,True
Player 1,100001,2,2,0,True
Player 1,100001,3,1,0,True
Player 1,626,2,2,0,False
Player 2,1822,1,3,0,False
Player 2,1942,2,2,0,False
Player 1,100001,2,2,0,True
Player 2,1977,1,3,0,False
Player 1,100001,2,2,0,True
Player 2,1320,1,3,0,False
Player 1,169,2,2,0,False
Player 1,100001,2,2,0,True
Player 1,3066,1,3,0,False
Player 1,1210,3,1,0,False
Player 1,1578,1,3,0,False
Player 1,100001,3,1,0,True
Player 1,100001,2,2,0,True
Player 1,153,3,1,0,False
Player 1,1747,2,2,0,False
Player 1,2540,3,1,0,False
Player 1,2282,3,1,0,False
Player 1,100001,3,1,0,True
Player 1,539,1,3,0,False
Player 1,1749,0,4,0,False
Player 1,1507,2,2,0,False
Player 1,1362,1,3,0,False
Player 1,2374,1,3,0,False
